conversations
"[{'content': 'ما هو عنوان الكتاب الذي يظهر في طبعته الثانية؟', 'role': 'user'}
"[{'content': 'السؤال: ما هو الغلاف الداخلي الموضح في الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'النواة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي الجسيمة الذرية عند الحرف أ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الإلكترون', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يملأ المنطقة خارج الدائرة المركزية؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الإلكترونات', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي تمثله الكُرتين الرماديتين الموجودة في الصورة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٢ بروتونات', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يمثل الحرف P؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '17 بروتون', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يمثل الحرف ب؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ن=٢', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يمثل الحرف أ عند  00:00 (منتصف الليل)؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'المد العالي 0000 (منتصف الليل)', 'role': 'assistant'}]"
"[{'content': 'السؤال: الشمس مسؤولة عن: اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'أطوار القمر', 'role': 'assistant'}]"
"[{'content': 'السؤال: وفقاً للمخطط، أين يوجد كوكب الأرض؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'السؤال: وفقًا لشبكة الغذاء، أي حيوان يتغذى على اللحم؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الثعبان', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد صور الأرض الموضحة في الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٨', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الصفة الأنسب للعوالق النباتية في سلسلة الغذاء هذه؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'فريسة', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد الكائنات الحية في الرسم البياني التي تتغذى على التونا؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٣', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الجزء الأكثر عمقًا في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'النواة الداخلية', 'role': 'assistant'}]"
"[{'content': 'السؤال: وفقاً للمخطط، ماذا تأكل الغزلان؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'النباتات', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي من الحروف يظهر الصدع العادي؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'السؤال: في مخطط شبكة غذاء، ما هو العنصر المنتج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'النباتات', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الحرف الذي يمثل النواة الأكثر مركزية؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'السؤال: اذكر الصدع الذي يتميز بحركة جانبية/من جهة إلى أخرى. اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد الأشياء التي تتغذى على النباتات؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٤', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما نوع الصدع الموضح في الرسم التخطيطي المسمى أ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'انزلاقي', 'role': 'assistant'}]"
"[{'content': 'السؤال: في مخطط شبكة الغذاء الموضح، ما الذي سيتأثر بشكل مباشر بفقدان الأشجار؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الخيول', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يستهلكه الثعلب غالبًا من الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الأرانب', 'role': 'assistant'}]"
"[{'content': 'السؤال: في مخطط شبكة الغذاء المعروض، ما هو العنصر المنتج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'العشب', 'role': 'assistant'}]"
"[{'content': 'السؤال: في مخطط شبكة الغذاء الموضح، ما هو العنصر المنتج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'نباتات', 'role': 'assistant'}]"
"[{'content': 'السؤال: وفقًا لشبكة الغذاء المعطاة، يتم استهلاك الثعبان بواسطة اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'النسور', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي الخطوة ٣ في الشكل؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'مجتمع', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو العنصر المنتج في الرسم؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'نبات', 'role': 'assistant'}]"
"[{'content': 'السؤال: وفقاً للمخطط، على ماذا يتغذى الوزغ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الديدان', 'role': 'assistant'}]"
"[{'content': 'السؤال: إذا كانت الأعشاب تموت ولم تعد متاحة، أي كائن سيكون الأول في الانخفاض؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الجمبري', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الشيء الذي تستهلكه الطيور بشكل أساسي؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الحشرات', 'role': 'assistant'}]"
"[{'content': 'السؤال: إن انخفاض عدد المنتجين يؤدي بشكل مباشر إلى انخفاض الطاقة في أي فئة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'عواشب', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الاشياء الظاهرة في الشكل؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'جميع ما سبق', 'role': 'assistant'}]"
"[{'content': 'السؤال: إستناداً للمخطط، على ما يتغذى الطائر؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الأسماك المفترسة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يمثل المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'دورة حياة النبتة', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد الدوائر في الشكل؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٣', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد المراحل الموجودة في دورة حياة الحشرة الظاهرة في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٤', 'role': 'assistant'}]"
"[{'content': 'السؤال: الحوت هو / هي؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'آكلات اللحوم', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يمثل الحرف أ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'بيض', 'role': 'assistant'}]"
"[{'content': 'السؤال: في أي مستوى غذائي تُدرج الحيوانات العاشبة من العوالق المائية؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الثاني', 'role': 'assistant'}]"
"[{'content': 'السؤال: في مخطط شبكة الغذاء الموضحة، إذا كانت كمية العشب ستنقص، ماذا سيتأثر بشكل مباشر؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الغزال', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما اسم المرحلة أ ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الشرنقة', 'role': 'assistant'}]"
"[{'content': 'السؤال: في الرسم البياني الموضح، من هو المنتِج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'عشب البحر', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي المرحلة ج للخلية؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'بالغ', 'role': 'assistant'}]"
"[{'content': 'السؤال: في مخطط الشبكة الغذائية المعروض، ما هو المنتج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'العشب', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي حيوان يتغذى على الحيوان الذي يتغذى على الطحالب؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'سمك القد القطبي', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد المراحل الانتقالية الموضحة في الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '3', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي المرحلة الأولى في الرسم الموضح؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٤', 'role': 'assistant'}]"
"[{'content': 'السؤال: الضفدع يوفر الطاقة لأي كائن حي؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ثعبان', 'role': 'assistant'}]"
"[{'content': 'السؤال: بعد حريق العشب، من يحتاج إلى مصدر جديد للطاقة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الفأر', 'role': 'assistant'}]"
"[{'content': 'السؤال: وفقاً للمخطط، كم عدد المراحل في دورة حياةالحشرة التي تقع في الجزء الأيسار من الصورة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٧', 'role': 'assistant'}]"
"[{'content': 'السؤال: استند إلى مخطط سلسلة الغذاء. من خلال أي عملية تصنع النباتات الطاقة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'التركيب الضوئي', 'role': 'assistant'}]"
"[{'content': 'السؤال: استنادًا إلى الرسم البياني المعطى، ماذا سيحدث لعدد حيوانات السمور إذا لم تكن هناك بومات؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
